업체명,업종,주소,이메일,톡톡,홈페이지
송도비앤미의원,성형외과,인천광역시 연수구 송도동 23-5 송도 푸르지오 주상복합 C동 상가 2층,17wjdwn@gmail.com,O,http://sd.benme.co.kr
유니버셜푸드 하남,단체급식,경기도 하남시 상산곡동 72-6,help@ecopood.co.kr,X,http://www.universalfood.co.kr/
티엔티푸드,단체급식,경기도 하남시 망월동 834-2 . 사무동 6층 611호,tntfood@naver.com,X,http://www.tntfood.net
미소원치과의원 울산,치과,울산광역시 남구 삼산동 1612-7 2층  3층,misowondent@daum.net,O,https://www.misowon.co.kr/main
서울탑치과의원 울산,치과,울산광역시 남구 달동 1365-13 4  5층,seoultop@seoul-top.com,O,https://www.seoul-top.com/
더조은플란트치과의원 울산,치과,울산광역시 남구 신정동 176-5 신정타워 2층  3층,thegoodplant1@naver.com,O,https://booking.naver.com/booking/13/bizes/1138696?theme=place&entry=pll&area=pll
움터방과후교육협회,방과후학교,경기도 고양시 덕양구 행신동 707-3,WOOMTER1@NAVER.COM,X,http://www.움터교육.com/
공감정리수납,정리수납,충청북도 청주시 상당구 북문로3가 123,kkkms1124@naver.com,O,http://gonggam.edenstore.co.kr/
삼성비뇨기과의원,비뇨기과,충청남도 천안시 서북구 쌍용동 393 2층,ysdjeong@hotmail.com,미확인,https://samsungclinic.com/
더타이어샵 봉일천점,타이어,경기도 파주시 조리읍 등원리 409-25 2동,tirelover@naver.co.kr,미확인,https://www.tirelover.co.kr/
늘푸른수학원 송파캠퍼스 본관,수학학원,서울특별시 송파구 방이동 183-4 흥진빌딩,npred@naver.com,미확인,http://www.npredu.co.kr/
하나서울안과의원,안과,경기도 부천시 원미구 중동 1031-2 골든벨타워 2층,hanaeye.root@gmail.com,미확인,http://www.hanaeye.co.kr
아워드레스,웨딩드레스,대전광역시 서구 월평동 324 2층 201-1호,LIMPLEBRIDE@NAVER.COM,미확인,https://www.ourdress.co.kr/
사랑의병원,내과,경기도 성남시 분당구 삼평동 656 7층,admin@lcc.co.kr,미확인,https://www.lcc.co.kr
메리앤마리,웨딩드레스,서울특별시 마포구 망원동 385-26 2F,marrynmari@naver.com,X,http://marrynmari.co.kr/
호텔 스퀘어 안산,호텔,경기도 안산시 단원구 원시동 774-3 호텔스퀘어안산,hotelsquare1@daum.net,미확인,http://hotelsquare.co.kr/
에이블짐 등촌역점,PT,서울특별시 강서구 염창동 312 지하 1층,able_41@naver.com,미확인,https://booking.naver.com/booking/6/bizes/1055308
유니원특허법률사무소,특허사무소,경기도 안양시 동안구 비산동 1112 1001-20호(10층 비욘드워크 안양평촌점 내),mail@unioneip.com,O,https://unioneip.com
입주청소,입주청소,서울특별시 구로구 고척동 165-18 지층2-2층 28호,thdudalth28@naver.com,X,https://www.jungbonclean.com
더인테라호텔평택,호텔,경기도 평택시 포승읍 만호리 574-1 더 인테라 호텔 평택,ramadapt2023@naver.com,미확인,http://interrahotel.com
청년팩토리,프랜차이즈본사,경기도 하남시 초이동 322-98 2층 201호,gojippig@naver.com,미확인,https://cngamja.com/
서울본내과의원,내과,서울특별시 마포구 서교동 353-1 서교타워 3 5 18층,seoulbonimclinic@gmail.com,미확인,https://www.seoulbon.co.kr/
다시사랑받개,애견카페,서울특별시 중랑구 망우동 466-4 4층,saac_ch@naver.com,미확인,https://saac.imweb.me/
정성나눔,단체급식,부산광역시 금정구 금사동 35-12 1층,help@jsnanum.com,미확인,http://www.jsnanum.com/
정담푸드,단체급식,부산광역시 강서구 신호동 220-3 1층(),jdfood@jdfood.co.kr,미확인,http://jdfood.co.kr
닥터써클 정형외과의원,정형외과,경기도 고양시 덕양구 지축동 996-2 성산타워 4층 닥터써클 정형외과,josep73@hanmail.net,미확인,http://drcircle.co.kr/
아이피링크 파트너스,특허사무소,경기도 하남시 풍산동 595-1 C동 201호,iplplaw@iplp.co,미확인,https://iplp.co.kr
이노스특허법률사무소,특허사무소,경기도 하남시 망월동 834 지식산업센터동 나463호(),info@innospat.com,미확인,http://www.innospat.com/
공유오피스 비상주사무실 마이비지니스파트너 양천구 목동역,부동산,서울특별시 양천구 신정동 905-2 해풍빌딩 4층 403호,mbpmdj@naver.com,미확인,http://www.mbpmdj.co.kr/default/
수원개인회생파산 전문 김성태 법무사 사무소,법무사,경기도 수원시 영통구 하동 989 A동 702호,kstmae@naver.com,미확인,https://www.kstoffice6885.com/
원푸드시스템,단체급식,경기도 평택시 진위면 마산리 723 101호,one1_food@naver.com,미확인,http://원푸드시스템.com
원푸드시스템,단체급식,경기도 평택시 진위면 마산리 723 101호,swing1984@naver.com,미확인,http://원푸드시스템.com
PeaceOn House,게스트하우스,서울특별시 동작구 본동 48-19 3층,peaceonhouse@gmail.com,미확인,http://pohouse.wordpress.com/
대전라마다호텔,리조트,대전광역시 유성구 봉명동 548-13,reservation@ramadadaejeon.com,미확인,https://www.ramadadaejeon.com/
베니키아 테크노밸리 호텔,리조트,대전광역시 유성구 관평동 796,htv6710500@hanmail.net,미확인,http://www.hoteltechnovalley.com/
감성공간,리모델링,인천광역시 서구 청라동 119-9 1층,ejjhpp1@naver.com,미확인,https://www.gamsungdesign.com/
법무법인 명원 제주분사무소 형사전문변호사,변호사사무소,제주특별자치도 제주시 이도이동 1065-6 8층 801호,mw@lawfirmmw.com,미확인,https://www.lawfirmmw.com/
비비드부동산중개법인,공인중개사,서울특별시 영등포구 영등포동6가 145 영등포반도아이비밸리 115호,sh_vivid@naver.com,미확인,http://비비드부동산.com
서초실용음악학원,음악학원,서울특별시 서초구 서초동 1699-7 로펌타워,guitaryjs@naver.com,O,http://www.scmusic.kr/
공간레온 까멜,정리수납,경기도 안양시 동안구 관양동 792-2 평촌스마트베이 에이동 1111호,sunap82@naver.com,미확인,http://www.kamelreon.com
힐로,정리수납,경기도 안양시 만안구 안양동 196 8층 806호,help@hillo.kr,미확인,https://hillo.kr/
개인회생 법무사 박미경 사무소,법무사,울산광역시 남구 옥동 591-1 삼성빌딩 102호,duri8607@naver.com,미확인,http://www.119pasan.com
가나쉬핑,이삿짐센터,서울특별시 종로구 종로1가 24 에이동 1424호,24gana@24gana.com,미확인,http://www.24gana.com/
24시 분당 리더스 동물의료원,동물병원,경기도 성남시 분당구 구미동 157 2층  3층 24시분당리더스동물의료원,bdlamc@naver.com,미확인,http://leadersamc.co.kr
너와함께한 시간속에서,웨딩촬영,서울특별시 동대문구 답십리동 492-4 514호,u00a0HELLO@CREATORLINK.NET,미확인,https://intime-withu.com
송파드림재활병원,재활의학과,서울특별시 송파구 가락동 57 청석빌딩,dream8175@naver.com,미확인,http://www.dreamhos.kr/
염창환병원,재활의학과,서울특별시 송파구 가락동 2-5 염창환병원,shouldbe84@naver.com,미확인,http://www.ychclinic.com/
시원한재활의학과의원,재활의학과,대전광역시 유성구 구암동 586-1 더원빌딩 2층,rmcool@naver.com,미확인,http://www.siwonhan.co.kr/main
지엔디스타일,주방리모델링,경기도 성남시 분당구 정자동 56-12 1층,gnddesign@naver.com,미확인,http://www.gndstyle.com/
지엔디스타일,주방리모델링,경기도 성남시 분당구 정자동 56-12 1층,gndstyle@naver.com,미확인,http://www.gndstyle.com/
제이더블유 공유오피스,부동산,경상남도 창원시 성산구 용호동 73-2 302호  303-1호  303-2호,jw_workspace@naver.co,미확인,https://jwworkspace.com/
세무회계 청현,세무사,광주광역시 서구 치평동 1217-10 4층,bnbtax@naver.com,미확인,http://bnbtax.shop
마루한사회적협동조합,방과후학교,인천광역시 남동구 고잔동 636 인천종합비즈니스센터 1107호,shccess@hanmail.net,미확인,http://www.maruhanedu.com/
유일인사노무법인,노무사,서울특별시 광진구 중곡동 119-11 4층,heesu2717@naver.com,미확인,http://www.yinomu.co.kr
명동콤비치과의원,치과,서울특별시 중구 남대문로2가 9-1 하이드파크 8층,combi2113@naver.com,미확인,http://www.combident.co.kr/
덴티스타치과의원,치과,서울특별시 중구 명동2가 2-23 지성빌딩6층,kci73@hanmail.net,미확인,http://www.starkwon.co.kr/
베러미의원 강남,피부과,서울특별시 서초구 서초동 1318-4 11층,haenashin1225@gmail.com,미확인,https://gangnam.bettermeclinic.co.kr/
리앤업성형외과의원,성형외과,경기도 성남시 분당구 삼평동 656 삼도타워 11층,renup@naver.com,미확인,https://www.renupclinic.com/
오렌지골프존GDR아카데미,골프연습장,경기도 안산시 단원구 고잔동 779-2 시아테마파크 2층,orangegolf0666@naver.com,미확인,https://gdracademyansan.com/
와이디월드,리조트,서울특별시 광진구 중곡동 47-24,webmaster@onoffmix.com,미확인,http://ydworld.co.kr/
와이디월드,리조트,서울특별시 광진구 중곡동 47-24,smart@ydworld.co.kr,미확인,http://ydworld.co.kr/
이씨엔교육,성인영어,서울특별시 강북구 번동 466-22 굿프렌드 빌딩,bambi6170@naver.com,미확인,http://청스뇌스쿨.com/default/
노무법인 승,노무사,서울특별시 서초구 서초동 1623-8 더에스엠빌딩 1층,oscar7580@gmail.com,미확인,https://www.seunglab.com
세무법인 아라 고양지점,세무사,경기도 고양시 일산동구 장항동 775-1 4층 423호,joon_cta@naver.com,미확인,https://ctajoon.com
송민화 세무회계사무소,세무사,경기도 고양시 덕양구 화정동 968-3 광성빌딩 201호,taxmh@daum.net,미확인,https://www.taxsmh.com/
한솥도시락 노량진고시촌점,도시락,서울특별시 동작구 노량진동 117-5,webmaster@hsd.co.kr,미확인,http://www.hsd.co.kr/
현대ESA 부동산중개사무소,부동산중개,서울특별시 서초구 서초동 1542-1 113호,fnanalyst@naver.com,미확인,https://officefinder.co.kr
화신법률사무소,법률사무소,전북특별자치도 전주시 덕진구 만성동 1259-7 만성 304호,lawtem3122@hanmail.net,미확인,http://hwasinlaw.com/#Service
레드성형외과의원,성형외과,경상남도 창원시 성산구 상남동 22-7 k 빌딩 6층,jewelrypscom@naver.com,미확인,https://www.redps.net/
사단법인 한국급식외식위생학회,단체급식,서울특별시 성동구 행당동 17,safeserve2@naver.com,미확인,http://www.fssanitation.com/
사단법인 한국급식외식위생학회,단체급식,서울특별시 성동구 행당동 17,kapa21@kapa21.or.kr,미확인,http://www.fssanitation.com/
모앤핏 여성전용 헬스&amp;PT 검단점,헬스장,인천광역시 서구 원당동 1043-11 507호~511호 모앤핏,moanfit1@naver.com,미확인,https://booking.naver.com/booking/13/bizes/1557337
파티수 광명역점,케이터링,경기도 광명시 일직동 515-1 자이타워 A동 624호 파티수,partysoo.official@gmail.com,미확인,https://partysoo.imweb.me/
돈키호텔,모텔,경기도 부천시 원미구 심곡동 465-15,hanam8559@naver.com,미확인,https://booking.naver.com/booking/3/bizes/1065121
네스트호텔,호텔,인천광역시 중구 운서동 2877,info@nesthotel.co.kr,미확인,https://www.nesthotel.co.kr
오크우드프리미어 인천,호텔,인천광역시 연수구 송도동 6-10 오크우드 프리미어 인천,reservations.incheon@oakwoodpremier.co.kr,미확인,https://www.homehmc.com/ko/oakwood-incheon-songdo/
더피플,인력사무소,제주특별자치도 제주시 노형동 2526-7 1층 102호,thepeople1977@naver.com,미확인,http://www.jejuthepeople.com
보컬플래닛 실용음악학원 본점,음악학원,서울특별시 광진구 능동 236-1 4층 보컬플래닛 실용음악학원,bear5003@naver.com,미확인,https://www.vocal-planet.com/
강동길동 매일365한의원,한의원,서울특별시 강동구 길동 389-2 2층 201호 202호 203호,admin@maeil365.kr,미확인,http://www.maeil365.kr/
강동길동 매일365한의원,한의원,서울특별시 강동구 길동 389-2 2층 201호 202호 203호,purple-wave@naver.com,미확인,http://www.maeil365.kr/
인천공항 게스트하우스 해피플레이스,게스트하우스,인천광역시 중구 운서동 2737-6,happyplacekorea@gmail.com,미확인,https://booking.naver.com/booking/3/bizes/16633?tr=bnm
씨피에이,분양대행,서울특별시 금천구 가산동 345-19 하우스D와이즈타워 813  814호,cpa@cpainc.co.kr,미확인,http://cpainc.co.kr
문앤김행정사사무소,번역사무소,인천광역시 서구 당하동 1235-2 KR 법조타워 8층 806호,nmbs5652@naver.com,미확인,https://mkoffice.my.canva.site/
강남국제행정사 사무소,번역사무소,서울특별시 서초구 서초동 1330-13 613호,transtour@naver.com,미확인,http://www.biztranstour.co.kr/
호텔그라체 탄현점,호텔,경기도 고양시 일산서구 탄현동 1575-4 지하1층~7층,kevin7060@naver.com,미확인,http://stayg.kr/
용산시대글로벌부동산중개법인,상가분양,서울특별시 용산구 한강로2가 420 용산푸르지오써밋 105호,earth7129993@naver.com,미확인,http://7129993.kmswb.kr/
글로리아웨딩홀,웨딩홀,광주광역시 서구 마륵동 173-9,bc20140303@gmail.com,미확인,https://www.gloriawedding.co.kr
어나더 피아노 학원,피아노학원,경기도 김포시 구래동 6886-4 메트로타워 301동 208호  209호,another-piano@naver.com,미확인,https://booking.naver.com/13/bizes/793623
대부도파크골프리조트,리조트,경기도 안산시 단원구 선감동 683-61,pensioncity@naver.com,미확인,https://www.dparkgolf.com
송파탑 공유오피스 잠실역 송파점,부동산,서울특별시 송파구 방이동 62-8 5층,topoffice-jamsil@naver.com,미확인,https://booking.naver.com/booking/5/bizes/1078307
시그니엘레지던스,부동산,서울특별시 송파구 신천동 29 42F 컨시어지,chamiyoung8685@gmail.com,미확인,https://drive.google.com/file/d/1qodpJGZXchlQ48VSXuRqGr0ub4QO8waI/view?usp=sharing
카라카리조트,리조트,울산광역시 울주군 서생면 신암리 21-1 카라카리조트,carracaresort@gmail.com,미확인,http://carracaresort.com/index.html
명동하나이비인후과의원,이비인후과,서울특별시 중구 명동2가 86 고려빌딩 3층,mdhana@naver.com,미확인,http://www.mdhana.co.kr/
회기 자자 호텔,모텔,서울특별시 동대문구 휘경동 336,joenstex@naver.com,미확인,https://booking.naver.com/booking/3/bizes/1140939
메리엘웨딩 청주웨딩박람회,웨딩플래너,충청북도 청주시 서원구 사창동 492-6 주성빌딩 2층 메리엘웨딩,meriel_hada@naver.com,미확인,http://merielwedding.co.kr/
세연케어,정리수납,서울특별시 도봉구 쌍문동 732,surisuricc@naver.com,미확인,http://www.surisuricc.com/
그래비티 조선 서울 판교 오토그래프 컬렉션,리조트,경기도 성남시 분당구 백현동 538,reservation@gravityhotel.com,미확인,https://grp.josunhotel.com/main.do
한샘리하우스 신상무점,리모델링,광주광역시 서구 농성동 629-5 한샘빌딩 2층,a3003003@hanamil.net,미확인,http://hkinter.co.kr/
인구보건복지협회 울산광역시지회 가족보건의원,산부인과,울산광역시 남구 신정동 1263-1,lime@ppfk.or.kr,미확인,https://clinic.ppfk.or.kr/clinic/ulsan
인구보건복지협회 울산광역시지회 가족보건의원,산부인과,울산광역시 남구 신정동 1263-1,pr@ppfk.or.kr,미확인,https://clinic.ppfk.or.kr/clinic/ulsan
황수정정리수납,정리수납,부산광역시 사상구 주례동 886-1 7층 703호,sj71500@naver.com,미확인,http://www.부산정리수납.kr
애플산부인과의원 신림점,산부인과,서울특별시 관악구 신림동 86-3 청암두산위브센티움 3층 301호,blue5814@naver.com,미확인,https://booking.naver.com/booking/13/bizes/450013
24시 로얄동물메디컬센터 강동,동물병원,서울특별시 강동구 길동 236-7,gdroyalamc@gmail.com,미확인,http://RoyalAMCGD.com
더블라썸,웨딩촬영,서울특별시 종로구 동숭동 1-37 로얄케스트빌딩 5층 502호,theblossomsnap@naver.com,미확인,http://www.theblossom.co.kr/
형사전문 법무법인 성진 김진아사무소,법률사무소,인천광역시 서구 석남동 480-7 4층 401호,Jskih0629@naver.com,미확인,https://lawfirm-seong-jin.co.kr/
웰킨두피케어젠 인천구월점,두피관리,인천광역시 남동구 구월동 1471-1 5층 502호,kys@kobizstar.com,미확인,http://www.wellkin.co.kr/event/event.asp
스테이얼리맨션 광명점,모텔,경기도 광명시 광명동 58-14 2층  3층,stay_earlymansion@naver.com,미확인,https://얼리맨션_네이버예약.enn.kr
W호텔,모텔,경기도 광명시 하안동 301-5,whotelgm@gmail.com,미확인,http://www.whotel-gm.com/
법무사 박병근 사무소,법무사,인천광역시 서구 심곡동 239-3 명원빌딩 501호,parkbg1234@naver.com,O,https://www.법무사박병근개인회생전문.com
자동차검사정비카123텍,수입차정비,인천광역시 남동구 고잔동 629,car123tec11@naver.com,미확인,https://car123tec.kr/
바른병원,재활의학과,경상남도 창원시 성산구 대원동 132 바른병원,bareunhp@naver.com,X,http://bareunhospital.co.kr/
에디트 인테리어,상가인테리어,충청북도 청주시 청원구 우암동 746-2 4F  EDIT INTERIOR,mickeysz3@naver.com,미확인,http://edit-designstudio.com/
가구킹 광주점,상가인테리어,광주광역시 북구 양산동 409-4,p0pp0ppp0@naver.com,미확인,https://gaguking.co.kr
나인트리 바이 파르나스 서울 인사동,호텔,서울특별시 종로구 관훈동 155-2,reservation3@ninetreehotel.com,미확인,http://www.ninetreehotels.com/nth3/
다옴디앤씨컴퍼니,분양대행,서울특별시 광진구 구의동 218-12 다성리버텔 801호,daom-dnc@naver.com,미확인,http://다옴디엔씨.com
송도하나로법무사사무소,법무사,인천광역시 연수구 송도동 8-3 휴먼빌파크 203호,lawlee032@hanmail.net,미확인,http://www.songdohana.com
호텔스타,모텔,경기도 의정부시 호원동 460-14 호텔스타,hotelstar0080@naver.com,미확인,https://booking.naver.com/booking/3/bizes/415385
무인텔 안,모텔,경기도 의정부시 의정부동 154-6 2층 무인텔 안,se8865@naver.com,미확인,https://booking.naver.com/booking/3/bizes/559002
글로우 호텔,모텔,경기도 의정부시 의정부동 499-9,glowhotel@naver.com,미확인,https://booking.naver.com/booking/3/bizes/272312
지플렉스 골프아카데미,골프연습장,부산광역시 해운대구 중동 152 지플렉스 골프센터 3층,gplex@g-plex.co.kr,미확인,http://www.g-plex.co.kr
지플렉스 골프아카데미,골프연습장,부산광역시 해운대구 중동 152 지플렉스 골프센터 3층,info@ssibusan.org,미확인,http://www.g-plex.co.kr
템프인,인력사무소,서울특별시 관악구 봉천동 885-21 템프인빌딩 2층,tempins_hr@naver.com,미확인,http://www.tempin.co.kr/
성모장례식장,장례식장,경기도 성남시 분당구 야탑동 49 성모요양병원 건물 B1,gnsekd0444@hanmail.net,미확인,https://smfuneral.co.kr
Purrpet 퍼펫 쇼룸 &amp; 피피애견운동장,애견카페,제주특별자치도 제주시 애월읍 납읍리 1025 Purrpet,yubinmm@naver.com,미확인,https://purrpet.co.kr/
다원종합인력개발,인력사무소,경기도 평택시 비전동 760-3 쌍동빌딩 3층,khja8255@naver.com,미확인,http://0316538002.ktm114.kr/
울산국화원장례식장,장례식장,울산광역시 남구 상개동 315-1,jks6795@naver.com,미확인,http://www.ulsanfh.com/
365밝은안과의원,안과,서울특별시 관악구 신림동 1424-28 서원프라자 3층: 진료센터 7층: 수술센터,365bright@naver.com,미확인,http://www.365goodeye.com/
삼성수안과의원,안과,서울특별시 관악구 봉천동 1658-2 낙성대빌딩 2층 201호,samsungsueye@naver.com,미확인,https://samsungsueye.com
희망찬안과의원,안과,서울특별시 관악구 신림동 1425-22,cooldoc@outlook.kr,미확인,http://www.eyehospital.co.kr/
아름다운동행 상조,장례식장,서울특별시 중랑구 상봉동 87-27 센트럴파크55,pdh3227@naver.com,미확인,http://belife.kr
흑백 셀프사진관 오디티모드 신라스테이 구로점,스튜디오,서울특별시 동작구 신대방동 698 1층,contact@odtmode.com,미확인,https://odtmode.com/
강서큰나무재활의학과의원,재활의학과,서울특별시 강서구 가양동 1479-10,bigtree-hospital@naver.com,미확인,http://bigtree-hospital.com
강서바른세상병원,재활의학과,서울특별시 강서구 방화동 606-36 바른세상병원빌딩,nogoon@sportschosun.com,미확인,http://barunsesang.kr
모텔리치,모텔,서울특별시 금천구 가산동 140-6,flclahxpf79@naver.com,미확인,https://booking.naver.com/booking/3/bizes/359866
루디아프로젝트,케이터링,서울특별시 영등포구 여의도동 33 한국거래소 마켓타워2 B1,ludia-project@naver.com,미확인,https://ludiaproject.com
컬컴 인천부평점,영어학원,인천광역시 부평구 부평동 199-41 삼정빌딩,danny@culcom.co.kr,X,http://culcom.co.kr
리봄치과의원,치과,인천광역시 연수구 송도동 10-7 송도 GTX센트럴 C동 6층 리봄치과,group-d@naver.com,미확인,http://www.rebomdental.com/
고구려푸드,프랜차이즈본사,경기도 시흥시 대야동 558-4 한국빌딩 7층,gf10101@naver.com,미확인,http://www.goguryeofood.com/
선우인쇄기획,복사인쇄,경상북도 포항시 남구 해도동 35-33,monster6993@naver.com,미확인,http://www.87monster.co.kr/front/index/f_main.asp
프린트카페 노원역점,복사인쇄,서울특별시 노원구 상계동 593-14 113-1호,upsoft@upsoft.ai,미확인,https://m.printcafe.io/
바론체필라테스 군자역점,필라테스,서울특별시 광진구 군자동 473-21 스테이 더 디자이너스 군자 2층 201호,baronche@naver.com,미확인,https://booking.naver.com/booking/6/bizes/888989
샘물호스피스병원,소아과,경기도 용인시 처인구 백암면 고안리 548 샘물의원,saemmulhospice@gmail.com,미확인,https://www.smh-hospital.co.kr
아르까노뷰티&amp;왁싱 동탄점,왁싱,경기도 화성시 동탄구 산척동 728-2 우성에듀파크 607호,jujuclub45@naver.com,미확인,https://booking.naver.com/13/bizes/748113
꽃들도 푸드 스튜디오,케이터링,서울특별시 성북구 하월곡동 76-16 2층 꽃들도 푸드 스튜디오,flowersdo@naver.com,미확인,http://www.likeflowers.co.kr
수면밀도 강남쇼룸,인테리어업체,서울특별시 강남구 역삼동 819-5 KG타워 2층,contact@mildo.kr,미확인,https://mildo.kr/
랑데부호텔,모텔,경기도 하남시 신장동 522-2 랑데부호텔,rdv2022@naver.com,미확인,https://booking.naver.com/booking/3/bizes/788817
세무그룹 택스에이드,세무사,서울특별시 강남구 역삼동 738-28 5층 501호,taxaid@taxaid.co.kr,미확인,https://www.taxaid.co.kr
집중산재노동법률사무소,노무사,경기도 화성시 동탄구 석우동 36-1,ziplaw1@naver.com,미확인,https://ziplaw.co.kr
디자인에이스,리모델링,서울특별시 종로구 무악동 45-62 1층,okllm@naver.com,미확인,http://에이스인테리어.com
앤리치,프랜차이즈본사,서울특별시 관악구 신림동 462-5 4층,go_pig@naver.com,미확인,https://www.gopig.co.kr/
서울척튼튼의원,정형외과,서울특별시 도봉구 창동 256-2 3층  4층,snutntn@naver.com,미확인,https://snutntn.imweb.me/
사계,펜션,충청남도 천안시 동남구 북면 사담리 83-2 천안 사계,beautyi81@naver.com,미확인,https://m.booking.naver.com/booking/3/bizes/1081008/items/5658130
김헌곤성형외과의원,성형외과,서울특별시 동작구 신대방동 395-68 201호,master@osmi.co.kr,미확인,http://www.osmi.co.kr/
라온플로,방과후학교,경기도 화성시 동탄구 영천동 680,allwaysflo@gmail.com,미확인,https://www.alwaysflo.com
드레스팩토리,웨딩드레스,경기도 안양시 동안구 호계동 1116 샘마을아파트,zootyxx@naver.com,미확인,http://www.dressfactory.net/
연세탑세무회계사무소,회계사무소,서울특별시 영등포구 여의도동 36-2 맨하탄빌딩 13층 1334호,hsycpa@naver.com,미확인,http://cpaha.co.kr
현대이사몰,이삿짐센터,부산광역시 해운대구 좌동 1356-5,kjh24244@naver.com,미확인,http://www.현대이사몰.net
서서울법무사사무소,법무사,서울특별시 은평구 녹번동 117-96 3층,noreply@10page.co.kr,미확인,http://lawfirmseoseoul.com/
독학재수학원 이투스247학원 하남,입시학원,경기도 하남시 망월동 1083 미사역레이크더타워 9층 전체,hdyhdy5741@naver.com,미확인,https://hanam247.etoos.com/index.do
애프터 요가 필라테스 서울숲점,요가,서울특별시 성동구 성수동1가 656-335 지하1층 애프터 요가 서울숲점,nicole1114h@naver.com,미확인,https://booking.naver.com/booking/13/bizes/586914
한국 펠든크라이스 센터,요가,서울특별시 성동구 성수동1가 13-187 경남빌딩 301호,koreanfeldenkrais@gmail.com,미확인,https://www.koreafeldenkrais.kr/
리젠법무사 사무소,법무사,서울특별시 서초구 서초동 1544-12 201호,feel717999@naver.com,미확인,http://regenbubmusa.com
세무회계이안파트너스,세무사,경기도 하남시 풍산동 595-1 유테크밸리 D동 201호,intax@iantax.co.kr,미확인,http://www.iantax.kr
연세신통마취통증의학과의원,통증의학과,서울특별시 노원구 공릉동 441-93 우은빌딩 401호,ane5130@nate.com,미확인,http://yonseist.itrocks.kr/
꿈꾸는느림보 사회적협동조합,방과후학교,경기도 안산시 상록구 사동 1349-14,dreamcoop1015@naver.com,미확인,http://www.dreamscoop.co.kr
드레스로렌,웨딩드레스,서울특별시 동대문구 신설동 98-9 금성빌딩 1층  B1층,dresslauren1@naver.com,미확인,http://www.dresslauren.com
나누리병원 인천,내과,인천광역시 부평구 부평동 124-5,icadmin@mfnanoori.co.kr,미확인,http://ic.nanoori.co.kr/
나누리병원 인천,내과,인천광역시 부평구 부평동 124-5,ingume@mfnanoori.co.kr,미확인,http://ic.nanoori.co.kr/
나누리병원 인천,내과,인천광역시 부평구 부평동 124-5,brand@mfnanoori.co.kr,미확인,http://ic.nanoori.co.kr/
별법무사합동사무소,법무사,부산광역시 해운대구 재송동 1221 센텀필상가 2관 2층 212호,pica1026@naver.com,미확인,http://starlaw119.com
별법무사합동사무소,법무사,부산광역시 해운대구 재송동 1221 센텀필상가 2관 2층 212호,jjehs@naver.com,미확인,http://starlaw119.com
빌리언웨스턴호텔 대구성서점,호텔,대구광역시 달서구 호산동 719-2,ohhotels@naver.com,미확인,https://billionwesternhotel.com
부천청담네오플란트치과의원,치과,경기도 부천시 원미구 중동 1122-1,neo-plant@naver.com,O,http://www.cdnp.co.kr
홍익돈까스 동탄 본점,프랜차이즈본사,경기도 화성시 반송동 48-6,webmaster@hongikdonkatsu.com,미확인,http://www.hongikdonkatsu.com/
ITC영어 본사,프랜차이즈본사,경기도 화성시 동탄구 영천동 823-6,kks@itcenglish.com,미확인,https://www.itcenglish.com/franchise/
공유오피스 오피스조인 2호점 대전회의실,부동산,대전광역시 유성구 반석동 621-6 5층,sugarjune@naver.com,미확인,https://officejoin.imweb.me
한나이브성형외과의원,성형외과,경기도 안양시 만안구 안양동 689-180 다니엘빌딩 1~7층,youyou531@hanmail.net,미확인,http://beautifuleve.co.kr/main/
법무법인제이엘 동탄분사무소,변호사사무소,경기도 화성시 동탄구 산척동 728-6,jllaw2020@naver.com,미확인,http://www.jllawfirm.co.kr/
욜로에프앤씨,프랜차이즈본사,대구광역시 수성구 연호동 22-2 욜로에프앤씨,yolofnc@naver.com,미확인,http://www.yolopc.com
누에바파밀리아,웨딩홀,경기도 용인시 수지구 신봉동 642-14,nuevafamilia@naver.com,미확인,http://www.nuevafamilia.co.kr/
탑교육문화원,방과후학교,경기도 수원시 권선구 오목천동 275-3 2층,top2211@hanmail.net,미확인,http://www.top-education.co.kr
결직웨딩,웨딩플래너,서울특별시 마포구 도화동 555,pjk521@naver.com,미확인,https://kgwed.com/
레미니스 포에버,웨딩플래너,서울특별시 마포구 서교동 483-35 모드빌딩 5층,info@reminisceforever.com,미확인,http://www.reminisceforever.com/
태릉스테이,게스트하우스,서울특별시 노원구 공릉동 661-9 2 3층,smile_join@naver.com,미확인,https://airbnb.co.kr/h/taereung-stay
동화나라어린이집,어린이집,서울특별시 중구 신당동 52-154,jaew0061@naver.com,X,http://www.donghwanara.kr/
노무법인 유앤,노무사,서울특별시 마포구 도화동 22 창강빌딩 13층,un@unhr.co.kr,미확인,https://www.unhr.co.kr/
러닝블라썸,유아영어,부산광역시 남구 문현동 1227-2 WeWork BIFC 15-108,info@tesoltc.com,미확인,https://tesolcollege.co.kr/
이작스페이스,펜션,서울특별시 서초구 양재동 106-1 502호,ijakdesign@gmail.com,미확인,https://www.ijak.co
전주오토월드,중고차,전북특별자치도 전주시 덕진구 장동 1054-2,jna0034@naver.com,미확인,http://jautoworld.com
썸띵플레이,인테리어,경기도 파주시 탄현면 법흥리 1652-193 1층 썸띵플레이,lani0322@naver.com,미확인,http://somethingplay.com/
